TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;17,70;;54,47;1,74;0,80;31,40;12,33;3,31;14,64;18,94;4,30;0,51;1,81;-46,52;-1,03;0,93;3,19;1,48;6,14;0,46;0,52;0,45;5,83;;17.250.344,33;10,19;0,32;-0,40;2.093.782.843,20
ABCB4;16,51;6,07;7,21;0,82;0,07;45,93;38,82;23,64;4,39;4,39;;;1,70;1,00;-0,09;2,68;11,37;1,04;;0,09;0,91;0,04;1,17;5,92;14.751.490,53;20,15;2,29;0,13;3.732.747.848,18
ABEV3;17,23;2,85;17,11;3,13;2,01;51,93;27,80;22,84;14,06;13,18;-0,88;-0,20;3,91;38,26;-2,80;1,23;18,27;11,73;19,13;0,64;0,35;0,51;4,56;4,99;425.760.263,14;5,51;1,01;0,21;271.225.273.009,85
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;7,53;;86,49;5,67;1,94;9,96;7,06;2,52;30,86;33,72;2,86;0,53;2,18;4,22;-5,58;3,40;6,56;2,25;7,41;0,34;0,66;0,89;;;13.423.576,56;1,33;0,09;-1,68;5.769.587.323,68
AESB3;11,55;2,00;12,75;2,56;0,52;16,81;8,41;36,44;55,28;105,86;50,58;2,34;4,65;1.017,15;-0,59;1,00;20,04;4,08;-5,31;0,20;0,72;0,11;;;19.176.655,19;4,52;0,91;;5.683.830.017,25
AFLT3;8,66;5,08;27,74;3,06;2,78;67,45;53,41;50,68;26,32;25,39;-0,92;-0,11;14,06;12,37;-3,71;9,63;11,02;10,03;10,66;0,91;0,09;0,20;5,56;9,29;6.543,33;2,83;0,31;-2,53;546.313.502,00
AGRO3;25,27;10,37;5,84;1,19;0,75;28,68;23,03;46,98;11,91;11,01;-0,91;-0,09;2,74;2,35;-1,55;2,66;20,30;12,92;6,33;0,64;0,36;0,28;55,29;123,25;27.422.760,67;21,32;4,33;0,02;2.587.066.992,16
AGXY3;8,70;;2.231,50;1,09;0,25;6,94;-2,02;0,02;-18,98;-28,61;-9,63;0,55;0,38;2,29;-1,12;1,16;0,05;0,01;-3,63;0,23;0,77;0,65;;;316.199,08;7,99;0,00;;1.486.177.404,30
AHEB3;26,50;;-3,74;-4,71;0,80;22,55;-19,49;-31,68;-6,08;-5,99;0,18;;1,19;-3,24;-1,03;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;5.649,80;-5,63;-7,08;-0,01;229.813.616,00
AHEB5;23,00;;-3,25;-4,09;0,70;22,55;-19,49;-31,68;-5,28;-5,99;0,18;;1,03;-2,81;-0,90;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;3.800,00;-5,63;-7,08;-0,01;229.813.616,00
AHEB6;51,50;;-7,27;-9,15;1,56;22,55;-19,49;-31,68;-11,82;-5,99;0,18;;2,30;-6,30;-2,01;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;6.742,00;-5,63;-7,08;-0,02;229.813.616,00
ALLD3;15,59;2,97;4,27;0,95;0,35;15,43;8,39;5,93;3,02;2,90;-0,12;-0,04;0,25;1,52;-1,27;1,47;22,32;8,19;21,00;0,37;0,63;1,38;;;7.088.656,64;16,35;3,65;0,02;1.453.043.843,38
ALPA3;35,01;0,71;45,80;6,17;3,86;53,38;15,21;11,09;33,39;35,43;-1,08;-0,20;5,08;12,89;-8,85;2,13;13,48;8,42;14,72;0,62;0,36;0,76;-3,59;10,54;86.731,64;5,67;0,76;0,38;22.510.324.693,98
ALPA4;41,73;0,65;54,59;7,36;4,60;53,38;15,21;11,09;39,80;35,43;-1,08;-0,20;6,06;15,37;-10,55;2,13;13,48;8,42;14,72;0,62;0,36;0,76;-3,59;10,54;122.765.097,25;5,67;0,76;0,46;22.510.324.693,98
ALPK3;4,18;;-4,62;1,73;0,34;24,17;-1,08;-25,12;-107,75;-280,89;-173,14;2,79;1,16;-1,63;-0,37;0,31;-37,55;-7,29;-0,54;0,19;0,80;0,29;;;123.265,47;2,41;-0,91;-0,26;874.588.614,68
ALSO3;22,28;1,02;36,02;0,88;0,53;66,45;37,03;18,73;18,22;20,89;2,67;0,13;6,75;4,83;-0,63;3,18;2,46;1,48;2,73;0,60;0,30;0,08;19,22;11,10;32.596.648,03;25,19;0,62;-0,94;5.921.417.493,84
ALUP11;24,49;3,43;5,11;1,09;0,29;72,94;72,21;21,59;1,53;3,22;1,69;1,20;1,10;4,13;-0,35;1,85;21,29;5,74;18,76;0,27;0,58;0,27;32,68;46,38;21.771.788,67;22,54;4,80;0,04;7.176.478.325,94
